year,month,department,buildingName,energyUsage,energyType
2015,January,Department of Human Services,Historical Society,55,natural gas
2015,February,Department of Human Services,Historical Society,64,natural gas
2015,March,Department of Human Services,Historical Society,28,natural gas
2015,April,Department of Human Services,Historical Society,24,natural gas
2015,May,Department of Human Services,Historical Society,19,natural gas
2015,June,Department of Human Services,Historical Society,1,natural gas
2014,July,Department of Human Services,ADAD/OBH Admin,1,natural gas
2014,August,Department of Human Services,ADAD/OBH Admin,1,natural gas
2014,September,Department of Human Services,ADAD/OBH Admin,13,natural gas
2014,October,Department of Human Services,ADAD/OBH Admin,69,natural gas
2014,November,Department of Human Services,ADAD/OBH Admin,191,natural gas
2014,December,Department of Human Services,ADAD/OBH Admin,225,natural gas
2015,January,Department of Human Services,ADAD/OBH Admin,163,natural gas
2015,February,Department of Human Services,ADAD/OBH Admin,177,natural gas
2015,March,Department of Human Services,ADAD/OBH Admin,77,natural gas
2015,April,Department of Human Services,ADAD/OBH Admin,79,natural gas
2015,May,Department of Human Services,ADAD/OBH Admin,62,natural gas
2015,June,Department of Human Services,ADAD/OBH Admin,1,natural gas
2014,July,Department of Human Services,Princeton House - Vacant,1,natural gas
2014,August,Department of Human Services,Princeton House - Vacant,2,natural gas
2014,September,Department of Human Services,Princeton House - Vacant,9,natural gas
2014,October,Department of Human Services,Princeton House - Vacant,26,natural gas
2014,November,Department of Human Services,Princeton House - Vacant,72,natural gas
2014,December,Department of Human Services,Princeton House - Vacant,83,natural gas
2015,January,Department of Human Services,Princeton House - Vacant,59,natural gas
2015,February,Department of Human Services,Princeton House - Vacant,69,natural gas
2015,March,Department of Human Services,Princeton House - Vacant,29,natural gas
2015,April,Department of Human Services,Princeton House - Vacant,28,natural gas
2015,May,Department of Human Services,Princeton House - Vacant,24,natural gas
2015,June,Department of Human Services,Princeton House - Vacant,2,natural gas
2014,July,Department of Human Services,DFM Central & NC Offices,2,natural gas
2014,August,Department of Human Services,DFM Central & NC Offices,8,natural gas
2014,September,Department of Human Services,DFM Central & NC Offices,31,natural gas
2014,October,Department of Human Services,DFM Central & NC Offices,61,natural gas
2014,November,Department of Human Services,DFM Central & NC Offices,151,natural gas
2014,December,Department of Human Services,DFM Central & NC Offices,174,natural gas
2015,January,Department of Human Services,DFM Central & NC Offices,128,natural gas
2015,February,Department of Human Services,DFM Central & NC Offices,144,natural gas
2015,March,Department of Human Services,DFM Central & NC Offices,66,natural gas
2015,April,Department of Human Services,DFM Central & NC Offices,66,natural gas
2015,May,Department of Human Services,DFM Central & NC Offices,51,natural gas
2015,June,Department of Human Services,DFM Central & NC Offices,11,natural gas
2014,July,Department of Human Services,CDHS Audit Division,0,natural gas
2014,August,Department of Human Services,CDHS Audit Division,0,natural gas
2014,September,Department of Human Services,CDHS Audit Division,7,natural gas
2014,October,Department of Human Services,CDHS Audit Division,19,natural gas
2014,November,Department of Human Services,CDHS Audit Division,61,natural gas
2014,December,Department of Human Services,CDHS Audit Division,75,natural gas
2015,January,Department of Human Services,CDHS Audit Division,52,natural gas
2015,February,Department of Human Services,CDHS Audit Division,59,natural gas
2015,March,Department of Human Services,CDHS Audit Division,21,natural gas
2015,April,Department of Human Services,CDHS Audit Division,21,natural gas
2015,May,Department of Human Services,CDHS Audit Division,17,natural gas
2015,June,Department of Human Services,CDHS Audit Division,3,natural gas
2014,July,Department of Human Services,MHI Offices,7,natural gas
2014,August,Department of Human Services,MHI Offices,6,natural gas
2014,September,Department of Human Services,MHI Offices,8,natural gas
2014,October,Department of Human Services,MHI Offices,14,natural gas
2014,November,Department of Human Services,MHI Offices,57,natural gas
2014,December,Department of Human Services,MHI Offices,74,natural gas
2015,January,Department of Human Services,MHI Offices,49,natural gas
2015,February,Department of Human Services,MHI Offices,56,natural gas
2015,March,Department of Human Services,MHI Offices,22,natural gas
2015,April,Department of Human Services,MHI Offices,22,natural gas
2015,May,Department of Human Services,MHI Offices,19,natural gas
2015,June,Department of Human Services,MHI Offices,10,natural gas
2014,July,Department of Human Services,DYC,5,natural gas
2014,August,Department of Human Services,DYC,5,natural gas
2014,September,Department of Human Services,DYC,9,natural gas
2014,October,Department of Human Services,DYC,17,natural gas
2014,November,Department of Human Services,DYC,47,natural gas
2014,December,Department of Human Services,DYC,59,natural gas
2015,January,Department of Human Services,DYC,41,natural gas
2015,February,Department of Human Services,DYC,49,natural gas
2015,March,Department of Human Services,DYC,19,natural gas
2015,April,Department of Human Services,DYC,18,natural gas
2015,May,Department of Human Services,DYC,16,natural gas
2015,June,Department of Human Services,DYC,3,natural gas
2014,July,Department of Human Services,DYC Central Region/DYC ITS,5,natural gas
2014,August,Department of Human Services,DYC Central Region/DYC ITS,5,natural gas
2014,September,Department of Human Services,DYC Central Region/DYC ITS,10,natural gas
2014,October,Department of Human Services,DYC Central Region/DYC ITS,20,natural gas
2014,November,Department of Human Services,DYC Central Region/DYC ITS,63,natural gas
2014,December,Department of Human Services,DYC Central Region/DYC ITS,75,natural gas
2015,January,Department of Human Services,DYC Central Region/DYC ITS,52,natural gas
2015,February,Department of Human Services,DYC Central Region/DYC ITS,61,natural gas
2015,March,Department of Human Services,DYC Central Region/DYC ITS,22,natural gas
2015,April,Department of Human Services,DYC Central Region/DYC ITS,21,natural gas
2015,May,Department of Human Services,DYC Central Region/DYC ITS,17,natural gas
2015,June,Department of Human Services,DYC Central Region/DYC ITS,3,natural gas
2014,July,Department of Human Services,MHI Interns,1,natural gas
2014,August,Department of Human Services,MHI Interns,1,natural gas
2014,September,Department of Human Services,MHI Interns,4,natural gas
2014,October,Department of Human Services,MHI Interns,9,natural gas
2014,November,Department of Human Services,MHI Interns,30,natural gas
2014,December,Department of Human Services,MHI Interns,36,natural gas
2015,January,Department of Human Services,MHI Interns,25,natural gas
2015,February,Department of Human Services,MHI Interns,30,natural gas
2015,March,Department of Human Services,MHI Interns,10,natural gas
2015,April,Department of Human Services,MHI Interns,10,natural gas
2015,May,Department of Human Services,MHI Interns,8,natural gas
2015,June,Department of Human Services,MHI Interns,1,natural gas
2014,July,Department of Human Services,GOIT Admin - Vacant,7,natural gas
2014,August,Department of Human Services,GOIT Admin - Vacant,8,natural gas
2014,September,Department of Human Services,GOIT Admin - Vacant,13,natural gas
2014,October,Department of Human Services,GOIT Admin - Vacant,36,natural gas
2014,November,Department of Human Services,GOIT Admin - Vacant,66,natural gas
2014,December,Department of Human Services,GOIT Admin - Vacant,55,natural gas
2015,January,Department of Human Services,GOIT Admin - Vacant,52,natural gas
2015,February,Department of Human Services,GOIT Admin - Vacant,63,natural gas
2015,March,Department of Human Services,GOIT Admin - Vacant,23,natural gas
2015,April,Department of Human Services,GOIT Admin - Vacant,23,natural gas
2015,May,Department of Human Services,GOIT Admin - Vacant,21,natural gas
2015,June,Department of Human Services,GOIT Admin - Vacant,8,natural gas
2014,July,Department of Human Services,DYC Central Region - NFL027,2,natural gas
2014,August,Department of Human Services,DYC Central Region - NFL027,2,natural gas
2014,September,Department of Human Services,DYC Central Region - NFL027,6,natural gas
2014,October,Department of Human Services,DYC Central Region - NFL027,13,natural gas
2014,November,Department of Human Services,DYC Central Region - NFL027,44,natural gas
2014,December,Department of Human Services,DYC Central Region - NFL027,55,natural gas
2015,January,Department of Human Services,DYC Central Region - NFL027,39,natural gas
2015,February,Department of Human Services,DYC Central Region - NFL027,45,natural gas
2015,March,Department of Human Services,DYC Central Region - NFL027,17,natural gas
2015,April,Department of Human Services,DYC Central Region - NFL027,15,natural gas
2015,May,Department of Human Services,DYC Central Region - NFL027,13,natural gas
2015,June,Department of Human Services,DYC Central Region - NFL027,2,natural gas
2014,July,Department of Human Services,DYC Central Region - NFL028,4,natural gas
2014,August,Department of Human Services,DYC Central Region - NFL028,5,natural gas
2014,September,Department of Human Services,DYC Central Region - NFL028,9,natural gas
2014,October,Department of Human Services,DYC Central Region - NFL028,15,natural gas
2014,November,Department of Human Services,DYC Central Region - NFL028,49,natural gas
2014,December,Department of Human Services,DYC Central Region - NFL028,59,natural gas
2015,January,Department of Human Services,DYC Central Region - NFL028,42,natural gas
2015,February,Department of Human Services,DYC Central Region - NFL028,48,natural gas
2015,March,Department of Human Services,DYC Central Region - NFL028,18,natural gas
2015,April,Department of Human Services,DYC Central Region - NFL028,17,natural gas
2015,May,Department of Human Services,DYC Central Region - NFL028,14,natural gas
2015,June,Department of Human Services,DYC Central Region - NFL028,5,natural gas
2014,July,Department of Human Services,DYC Central Region - NFL029,5,natural gas
2014,August,Department of Human Services,DYC Central Region - NFL029,5,natural gas
2014,September,Department of Human Services,DYC Central Region - NFL029,9,natural gas
2014,October,Department of Human Services,DYC Central Region - NFL029,16,natural gas
2014,November,Department of Human Services,DYC Central Region - NFL029,52,natural gas
2014,December,Department of Human Services,DYC Central Region - NFL029,64,natural gas
2015,January,Department of Human Services,DYC Central Region - NFL029,47,natural gas
2015,February,Department of Human Services,DYC Central Region - NFL029,57,natural gas
2015,March,Department of Human Services,DYC Central Region - NFL029,21,natural gas
2015,April,Department of Human Services,DYC Central Region - NFL029,20,natural gas
2015,May,Department of Human Services,DYC Central Region - NFL029,17,natural gas
2015,June,Department of Human Services,DYC Central Region - NFL029,5,natural gas
2014,July,Department of Human Services,DYC Administration,2,natural gas
2014,August,Department of Human Services,DYC Administration,2,natural gas
2014,September,Department of Human Services,DYC Administration,12,natural gas
2014,October,Department of Human Services,DYC Administration,44,natural gas
2014,November,Department of Human Services,DYC Administration,125,natural gas
2014,December,Department of Human Services,DYC Administration,146,natural gas
2015,January,Department of Human Services,DYC Administration,106,natural gas
2015,February,Department of Human Services,DYC Administration,125,natural gas
2015,March,Department of Human Services,DYC Administration,59,natural gas
2015,April,Department of Human Services,DYC Administration,54,natural gas
2015,May,Department of Human Services,DYC Administration,48,natural gas
2015,June,Department of Human Services,DYC Administration,4,natural gas
2014,July,Department of Human Services,MHI Work Therapy & Program Storage,4,natural gas
2014,August,Department of Human Services,MHI Work Therapy & Program Storage,5,natural gas
2014,September,Department of Human Services,MHI Work Therapy & Program Storage,46,natural gas
2014,October,Department of Human Services,MHI Work Therapy & Program Storage,37,natural gas
2014,November,Department of Human Services,MHI Work Therapy & Program Storage,118,natural gas
2014,December,Department of Human Services,MHI Work Therapy & Program Storage,137,natural gas
2015,January,Department of Human Services,MHI Work Therapy & Program Storage,102,natural gas
2015,February,Department of Human Services,MHI Work Therapy & Program Storage,109,natural gas
2015,March,Department of Human Services,MHI Work Therapy & Program Storage,29,natural gas
2015,April,Department of Human Services,MHI Work Therapy & Program Storage,26,natural gas
2015,May,Department of Human Services,MHI Work Therapy & Program Storage,37,natural gas
2015,June,Department of Human Services,MHI Work Therapy & Program Storage,15,natural gas
2014,July,Department of Human Services,DFM NCD Maintenance Shops,2,natural gas
2014,August,Department of Human Services,DFM NCD Maintenance Shops,9,natural gas
2014,September,Department of Human Services,DFM NCD Maintenance Shops,15,natural gas
2014,October,Department of Human Services,DFM NCD Maintenance Shops,63,natural gas
2014,November,Department of Human Services,DFM NCD Maintenance Shops,173,natural gas
2014,December,Department of Human Services,DFM NCD Maintenance Shops,210,natural gas
2015,January,Department of Human Services,DFM NCD Maintenance Shops,155,natural gas
2015,February,Department of Human Services,DFM NCD Maintenance Shops,174,natural gas
2015,March,Department of Human Services,DFM NCD Maintenance Shops,74,natural gas
2015,April,Department of Human Services,DFM NCD Maintenance Shops,64,natural gas
2015,May,Department of Human Services,DFM NCD Maintenance Shops,51,natural gas
2015,June,Department of Human Services,DFM NCD Maintenance Shops,3,natural gas
2014,July,Department of Human Services,DFM Grands Shop & Motor Pool,1,natural gas
2014,August,Department of Human Services,DFM Grands Shop & Motor Pool,1,natural gas
2014,September,Department of Human Services,DFM Grands Shop & Motor Pool,1,natural gas
2014,October,Department of Human Services,DFM Grands Shop & Motor Pool,11,natural gas
2014,November,Department of Human Services,DFM Grands Shop & Motor Pool,83,natural gas
2014,December,Department of Human Services,DFM Grands Shop & Motor Pool,108,natural gas
2015,January,Department of Human Services,DFM Grands Shop & Motor Pool,73,natural gas
2015,February,Department of Human Services,DFM Grands Shop & Motor Pool,82,natural gas
2015,March,Department of Human Services,DFM Grands Shop & Motor Pool,24,natural gas
2015,April,Department of Human Services,DFM Grands Shop & Motor Pool,21,natural gas
2015,May,Department of Human Services,DFM Grands Shop & Motor Pool,14,natural gas
2015,June,Department of Human Services,DFM Grands Shop & Motor Pool,1,natural gas
2014,July,Department of Human Services,MHI Work Therapy Storage,1,natural gas
2014,August,Department of Human Services,MHI Work Therapy Storage,2,natural gas
2014,September,Department of Human Services,MHI Work Therapy Storage,8,natural gas
2014,October,Department of Human Services,MHI Work Therapy Storage,18,natural gas
2014,November,Department of Human Services,MHI Work Therapy Storage,32,natural gas
2014,December,Department of Human Services,MHI Work Therapy Storage,44,natural gas
2015,January,Department of Human Services,MHI Work Therapy Storage,39,natural gas
2015,February,Department of Human Services,MHI Work Therapy Storage,32,natural gas
2015,March,Department of Human Services,MHI Work Therapy Storage,17,natural gas
2015,April,Department of Human Services,MHI Work Therapy Storage,4,natural gas
2015,May,Department of Human Services,MHI Work Therapy Storage,1,natural gas
2015,June,Department of Human Services,MHI Work Therapy Storage,0,natural gas
2014,July,Department of Human Services,Garage Storage 129,0,natural gas
2014,August,Department of Human Services,Garage Storage 129,1,natural gas
2014,September,Department of Human Services,Garage Storage 129,2,natural gas
2014,October,Department of Human Services,Garage Storage 129,5,natural gas
2014,November,Department of Human Services,Garage Storage 129,15,natural gas
2014,December,Department of Human Services,Garage Storage 129,18,natural gas
2015,January,Department of Human Services,Garage Storage 129,15,natural gas
2015,February,Department of Human Services,Garage Storage 129,16,natural gas
2015,March,Department of Human Services,Garage Storage 129,6,natural gas
